2026-09-21 15:43:59 | INFO | __main__ | Pipeline started
2026-09-21 15:44:02 | INFO | __main__ | Figure saved: figures/traffic_by_hour.png (hourly traffic demand)
2026-09-21 15:44:02 | INFO | __main__ | Hourly interpretation: peak average traffic occurs around hour 16 (5663.76), while the lowest occurs around hour 3 (371.09)
2026-09-21 15:44:02 | INFO | __main__ | Figure saved: figures/weekday_vs_weekend.png (weekday versus weekend traffic)
2026-09-21 15:44:02 | INFO | __main__ | Weekday/weekend interpretation: weekday average 3533.29 vs weekend average 2570.70 vehicles/hour
2026-09-21 15:44:02 | INFO | __main__ | Figure saved: figures/temperature_vs_traffic.png (temperature and traffic relationship)
2026-09-21 15:44:02 | INFO | __main__ | Temperature/traffic interpretation: Pearson correlation 0.1323; 0 observations are below -100°C and should be treated as anomalies
2026-09-21 15:44:02 | INFO | __main__ | All visualisations created successfully
2026-09-21 15:44:02 | INFO | __main__ | Visualisation task completed successfully
2026-09-21 15:44:03 | INFO | __main__ | CLI command invoked: hourly | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'hourly', 'hour': '16'}
2026-09-21 15:44:03 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:03 | INFO | __main__ | CLI command completed successfully: hourly
2026-09-21 15:44:04 | INFO | __main__ | CLI command invoked: compare | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'compare'}
2026-09-21 15:44:04 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:04 | INFO | __main__ | CLI command completed successfully: compare
2026-09-21 15:44:05 | INFO | __main__ | CLI command invoked: recommend | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'recommend'}
2026-09-21 15:44:05 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:05 | INFO | __main__ | CLI command completed successfully: recommend
2026-09-21 15:44:05 | INFO | __main__ | CLI command invoked: weather | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'weather', 'condition': 'Clear'}
2026-09-21 15:44:05 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:06 | INFO | __main__ | CLI command completed successfully: weather
2026-09-21 15:44:06 | INFO | __main__ | CLI command invoked: date | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'date', 'date': '2017-08-01'}
2026-09-21 15:44:06 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:06 | INFO | __main__ | CLI command completed successfully: date
2026-09-21 15:44:07 | INFO | __main__ | CLI command invoked: date | arguments={'input': PosixPath('outputs/traffic_features.csv'), 'log': PosixPath('logs/pipeline.log'), 'log_level': 'INFO', 'command': 'date', 'date': '2017-99-99'}
2026-09-21 15:44:07 | INFO | __main__ | Loaded feature-engineered dataset: 48187 rows x 36 columns
2026-09-21 15:44:07 | ERROR | __main__ | CLI command failed: Date must use YYYY-MM-DD format
